==3066== NVPROF is profiling process 3066, command: ./untiled
==3066== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==3066== Profiling application: ./untiled
==3066== Profiling result:
==3066== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_subp2_gld_thread_count_128b",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_subp3_gld_thread_count_128b",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_subp0_gld_warp_count_32b",31211970,194107526,111865722
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_subp1_gld_warp_count_32b",31212000,31212000,31212000
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_subp2_gld_warp_count_32b",31212000,152601370,89691573
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_subp3_gld_warp_count_32b",31212000,31212000,31212000
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_subp0_gld_warp_count_64b",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_subp1_gld_warp_count_64b",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_subp2_gld_warp_count_64b",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_subp3_gld_warp_count_64b",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_subp0_gld_warp_count_128b",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_subp1_gld_warp_count_128b",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_subp2_gld_warp_count_128b",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_subp3_gld_warp_count_128b",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"l2_subp0_read_sysmem_sector_queries",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"l2_subp1_read_sysmem_sector_queries",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"l2_subp2_read_sysmem_sector_queries",0,0,0
